model_metrics_ID,meta_data_ID,model_ID,model_ID_name,auc,logloss,mean_per_class_error,rmse,mse
1,1,1,GBM_1_AutoML_20190422_023849,0.830198732,0.067567692,0.368385551,0.121168588,0.014681827
2,1,2,GBM_2_AutoML_20190422_023849,0.824804055,0.065958618,0.364623942,0.119122526,0.014190176
3,1,3,GBM_3_AutoML_20190422_023849,0.819261523,0.066604943,0.395916695,0.119456081,0.014269755
4,1,4,StackedEnsemble_AllModels_AutoML_20190422_023849,0.812347204,0.067957951,0.347793663,0.119143168,0.014195094
5,1,5,GBM_5_AutoML_20190422_023849,0.810830103,0.066057545,0.389438204,0.118158943,0.013961536
6,1,6,GBM_4_AutoML_20190422_023849,0.805622092,0.068466351,0.395239086,0.120247413,0.01445944
7,1,7,StackedEnsemble_BestOfFamily_AutoML_20190422_023849,0.802300669,0.068684772,0.400836196,0.119663642,0.014319387
8,1,8,GBM_grid_1_AutoML_20190422_023849_model_3,0.801052187,0.070137648,0.346008254,0.11895788,0.014150977
9,1,9,GBM_grid_1_AutoML_20190422_023849_model_1,0.796226344,0.068078066,0.376040467,0.118399526,0.014018448
10,1,10,GBM_grid_1_AutoML_20190422_023849_model_2,0.790099869,0.070077123,0.400245208,0.120527052,0.01452677
11,1,11,XRT_1_AutoML_20190422_023849,0.780712445,0.093315457,0.412647326,0.121172362,0.014682741
12,1,12,GLM_grid_1_AutoML_20190422_023849_model_1,0.768481659,0.067156413,0.40780549,0.118464278,0.014033785
13,1,13,DRF_1_AutoML_20190422_023849,0.762948524,0.111722,0.428520571,0.122049577,0.014896099
14,1,14,DeepLearning_1_AutoML_20190422_023849,0.755395606,0.070811763,0.367033826,0.119088435,0.014182055
15,1,15,DeepLearning_grid_1_AutoML_20190422_023849_model_2,0.744976983,0.128423581,0.406262976,0.120878612,0.014611639
16,1,16,DeepLearning_grid_1_AutoML_20190422_023849_model_1,0.744761109,0.077653428,0.366676199,0.119623923,0.014309883
17,1,17,DeepLearning_grid_1_AutoML_20190422_023849_model_3,0.659651697,0.288368689,0.433093502,0.120986782,0.014637801
18,1,18,GBM_grid_1_AutoML_20190422_023849_model_4,0.651694649,0.176509667,0.406955046,0.142916667,0.020425174
19,2,1,GBM_2_AutoML_20190422_040455,0.825466329,0.065743315,0.335053974,0.118876642,0.014131656
20,2,2,GBM_grid_1_AutoML_20190422_040455_model_1,0.825077774,0.066296978,0.372464677,0.118005574,0.013925316
21,2,3,GBM_1_AutoML_20190422_040455,0.823365718,0.068297189,0.366185974,0.121355077,0.014727055
22,2,4,GBM_grid_1_AutoML_20190422_040455_model_2,0.822387187,0.065602266,0.380755616,0.117911168,0.013903044
23,2,5,GBM_3_AutoML_20190422_040455,0.819916268,0.066527222,0.341879035,0.119251903,0.014221016
24,2,6,StackedEnsemble_AllModels_AutoML_20190422_040455,0.816546862,0.067636011,0.361597554,0.119090533,0.014182555
25,2,7,GBM_grid_1_AutoML_20190422_040455_model_5,0.815440073,0.066367434,0.348214322,0.119098435,0.014184437
26,2,8,GBM_5_AutoML_20190422_040455,0.811884761,0.06647485,0.373779294,0.118530599,0.014049503
27,2,9,GBM_grid_1_AutoML_20190422_040455_model_3,0.809774987,0.067490942,0.388432064,0.118269098,0.013987579
28,2,10,StackedEnsemble_BestOfFamily_AutoML_20190422_040455,0.806515247,0.06893925,0.366975272,0.119761503,0.014342818
29,2,11,GBM_4_AutoML_20190422_040455,0.805488509,0.068092616,0.40155284,0.119697555,0.014327505
30,2,12,DeepLearning_grid_1_AutoML_20190422_040455_model_5,0.775671003,0.207221834,0.375634806,0.120985611,0.014637518
31,2,13,GLM_grid_1_AutoML_20190422_040455_model_1,0.768481659,0.067156413,0.40780549,0.118464278,0.014033785
